dns12.quad9.net  # 243.66 ms
dns.glf.wtf  # 243.78 ms
dns1.dnscrypt.ca  # 244.47 ms
cph01.dnscry.pt  # 244.57 ms
antivirus.bebasid.com  # 244.60 ms
doh.niyawe.de  # 244.85 ms
fra01.dnscry.pt  # 244.97 ms
dns.a47.me  # 245.28 ms
dns.comff.net  # 245.77 ms
dns.kernel-error.de  # 245.82 ms
dns.clanless.ovh  # 247.07 ms
dns10.quad9.net  # 247.87 ms
dns.artikel10.org  # 247.97 ms
dns.t53.de  # 249.16 ms
doh.defaultroutes.de  # 250.15 ms
dns.andrewnw.xyz  # 250.35 ms
doh.dns.apple.com  # 250.56 ms
dns.carson-family.com  # 250.69 ms
doh.lacontrevoie.fr  # 251.92 ms
adfree.usableprivacy.net  # 251.94 ms
dns.reitmeier.me  # 251.94 ms
dns.tls-data.de  # 252.47 ms
dns.liberador.net  # 254.99 ms
doh.luigi.nexific.it  # 255.30 ms
common.dot.dns.yandex.net  # 257.53 ms
dns.luma-medien.com  # 257.66 ms
dns.novg.net  # 258.48 ms
dns.kescher.at  # 258.71 ms
dns.faked.org  # 258.77 ms
dns01.flm9.net  # 259.73 ms
dtw01.dnscry.pt  # 260.04 ms
adguard-kartoffel.zernico.de  # 260.35 ms
dns.hoody.com  # 260.55 ms
doh.li  # 260.83 ms
bru01.dnscry.pt  # 260.96 ms
dns-doh.dnsforfamily.com  # 261.11 ms
doh.phdns4.lonet.org  # 261.70 ms
fr-dns1.bancuh.com  # 261.91 ms
dns.nick-slowinski.de  # 261.99 ms
anycast.censurfridns.dk  # 263.44 ms
adguard.shoupperuser.com  # 263.49 ms
doh.ffmuc.net  # 264.16 ms
dnspub.restena.lu  # 264.21 ms
cvt01.dnscry.pt  # 264.25 ms
doh.zknt.org  # 264.72 ms
dns.caliph.dev  # 265.62 ms
dns.digitalsize.net  # 266.77 ms
dns.l337.site  # 268.08 ms
glacius.top  # 269.14 ms
dns.circl.lu  # 270.64 ms
atl01.dnscry.pt  # 271.05 ms
family.canadianshield.cira.ca  # 271.86 ms
dns.cmrg.net  # 272.09 ms
doh.sz-dns.com  # 272.69 ms
dns1.in-berlin.de  # 272.77 ms
dns.jupitrdns.com  # 272.96 ms
eu.tri-dns.net  # 273.68 ms
